"Regiao de Saude (CIR)";"Vaginal";"Cesario";"Ignorado";"Total"
"42004 Alto Vale do Itaja?";1910;2338;NA;4248
"42005 Foz do Rio Itaja?";5450;4993;NA;10443
"42006 M?dio Vale do Itaja?";4368;6232;4;10604
"42007 Grande Florian?polis";8081;7409;9;15499
"42008 Meio Oeste";839;1461;4;2304
"42009 Alto Vale do Rio do Peixe";1375;2957;1;4333
"42010 Alto Uruguai Catarinense";574;1539;2;2115
"42011 Nordeste";4704;4936;NA;9640
"42012 Planalto Norte";1529;3086;1;4616
"42013 Serra Catarinense";1789;1958;1;3748
"42014 Extremo Sul Catarinense";1039;1189;NA;2228
"42015 Carbon?fera";2293;3890;NA;6183
"42016 Laguna";1917;3139;NA;5056
"42017 Vale do Itapoc?";1956;2106;NA;4062
"Ignorado NA SC";1;NA;NA;1
"28001 Aracaju";8333;9430;NA;17763
"28002 Est?ncia";1699;809;NA;2508
"28003 Itabaiana";1829;969;NA;2798
"28004 Lagarto";1794;1361;1;3156
"28005 Nossa Senhora da Gl?ria";1178;378;NA;1556
"28006 Nossa Senhora do Socorro";628;328;1;957
"28007 Propri?";824;585;4;1413
"35011 Alto do Tiet?";16823;16688;6;33517
"35012 Franco da Rocha";3143;2968;8;6119
"35013 Mananciais";6437;4155;2;10594
"35014 Rota dos Bandeirantes";11061;9502;3;20566
"35015 Grande ABC";9794;15774;9;25577
"35016 S?o Paulo";65201;80703;5;145909
"35021 Central do DRS II";503;2616;NA;3119
"35022 Lagos do DRS II";183;1422;NA;1605
"35023 Cons?rcios do DRS II";524;2069;1;2594
"35031 Central do DRS III";921;2531;NA;3452
"35032 Cora??o do DRS III";1245;2849;NA;4094
"35033 Noroeste do DRS III";472;2343;1;2816
"35041 Baixada Santista";8938;10997;1;19936
"35051 Norte NA Barretos";581;2602;NA;3183
"35052 Sul NA Barretos";321;906;NA;1227
"35061 Vale do Jurumirim";1090;2015;NA;3105
"35062 Bauru";2358;4905;7;7270
"35063 Polo Cuesta";1452;2215;NA;3667
"35064 Ja?";646;2840;1;3487
"35065 Lins";344;1318;NA;1662
"35071 Bragan?a";1874;4627;1;6502
"35072 Regiao Metropolitana de Campinas";11894;23333;3;35230
"35073 Jundia?";3957;6926;1;10884
"35074 Circuito das ?guas";313;1177;1;1491
"35081 Tr?s Colinas";1791;3410;8;5209
"35082 Alta Anhanguera";153;1407;NA;1560
"35083 Alta Mogiana";95;990;NA;1085
"35091 Adamantina";118;809;NA;927
"35092 Assis";446;2127;NA;2573
"35093 Mar?lia";1522;2819;NA;4341
"35094 Ourinhos";773;1855;NA;2628
"35095 Tup?";275;803;NA;1078
"35101 Araras";1008;2355;2;3365
"35102 Limeira";1245;2647;3;3895
"35103 Piracicaba";2429;4416;1;6846
"35104 Rio Claro";663;1985;1;2649
"35111 Alta Paulista";98;989;NA;1087
"35112 Alta Sorocabana";1435;4035;NA;5470
"35113 Alto Capivari";105;298;NA;403
"35114 Extremo Oeste Paulista";109;568;NA;677
"35115 Pontal do Paranapanema";88;212;NA;300
"35121 Vale do Ribeira";1609;1432;1;3042
"35131 Horizonte Verde";1027;2727;1;3755
"35132 Aqu?fero Guarani";4442;6970;1;11413
"35133 Vale das Cachoeiras";147;769;NA;916
"35141 Baixa Mogiana";767;2874;NA;3641
"35142 Mantiqueira";369;2317;NA;2686
"35143 Rio Pardo";445;1381;1;1827
"35151 Catanduva";554;2408;NA;2962
